scientificName,Extinction.extirpation,Extirpation_State,Least_Concern_local_extirpation,yearLastSeen_Notes,Comment,Body_mass,Within_fox_prey_mass_95.7.15130g,Within_cat_prey_mass__16.3.1946g,Blamed_on_foxes,Blamed_on_cats,Record_certainty,Reference,Year_last_record,Place_last_record,Coordinates_used_for_centre_point,Coordinates_accuracy,Foxes_havent_arrived_yet,Cats_havent_arrived_yet,First_fox_record,Last_record_AFTER_fox_first_record,Last_record_MINUS_fox_first_record,First_cat_record,Last_record_AFTER_cat_first_record,Last_record_MINUS_cat_first_record,rationale,threats,population,range,Species_Status,record_id,Year_last_record_error,buffer_distance,fox_min,fox_max,fox_mean,fox_sd,cat_min,cat_max,cat_mean,cat_sd
Antechinomys laniger,Region,Nullarbor,1,,,25,0,1,1,1,Confirmed,"Abbott, I., Peacock, D. and Short, J., 2014. The new guard: the arrival and impacts of cats and foxes. Carnivores of Australia: past, present and future, pp.69-104.",1928,Nullarbor,Nullarbor,Region,NA,NA,,,,,,,,,,,Least Concern,pop_1,,1e+05,1907.5,1912.5,1911.76900584795,1.76825147180594,1885,1885,1885,0
Bettongia anhydra,Global,,,1933,,1582.3,1,1,1,1,Confirmed,IUCN 2023,1933,"McEwin Hills, Lake Mackay, western Northern Territory","McEwin Hills, Lake Mackay, western Northern Territory",Place,NA,NA,,,,,,,"The Desert Bettong is known from a single modern specimen, collected in 1933 and has not been recorded alive since then, despite extensive surveys.&#160;The date of extinction is unknown, but was possibly in the&#160;1950s or 1960s as Woylie <em>Bettongia penicillat</em>a and Boodie<em> B. lesueur</em> survived in the Tanami Desert until c. 1960 (Burbidge <em>et al</em>. 1988).","The Desert Bettong was probably driven to extinction because of predation by introduced Red Foxes and feral domestic cats, perhaps combined with inappropriate fire regimes.<br/><br/>There is strong evidence for decline and extinction of critical weight range mammals due to predation by Red Foxes (<em>Vulpes vulpes</em>); Short (1998) documented a close correlation between the extinction of bettongs in New South Wales and the arrival of the Red Fox.<br/><br/>There is strong evidence for decline and extinction of desert critical weight range mammals due to predation by feral domestic cats; attempts to reintroduce Boodies <em>B. lesueu</em><em>r</em> to mainland areas where Red Foxes were controlled failed because of predation by feral cats (Christensen and Burrows 1994).<br/><br/>When Aboriginal people moved to settlements, fire regimes in the western deserts changed from mostly small fires resulting in a mosaic of fire ages to one of infrequent, very large summer fires (Latz 1995), with consequences for food availability and habitat suitability demonstrated for small desert macropods (Bolton and Latz 1978).","It is not known how abundant this species was before its extinction. The species has not been recorded alive since 1933, despite extensive surveys.","The single modern specimen, a damaged skull, was collected in 1933 from a freshly-dead animal by the explorer Michael Terry near the McEwin Hills, east of Lake Mackay in the Tanami Desert, Northern Territory. Subfossil material of this species is known from Stegamite Cave, southern Nullarbor Plain, Western Australia (McDowell <em>et al.</em> 2015). As these localities are widely separated, it may once have had a relatively wide distribution. Burbidge <em>et al</em>. (1988) did not record any Aboriginal oral history that may show indigenous knowledge of a third species of <em>Bettongia</em> in the central and western deserts; however, they did not ask people about a third species, as the Desert Bettong was not known to be a separate species at the time. If the Desert Bettong's pelage and behaviour was similar to the Boodie's, the two species may not have been differentiated.",Globally extinct,pop_2,,10000,1922.5,1922.5,1922.5,0,1885,1885,1885,0
Bettongia lesueur,State,New South Wales,,"""It was last recorded in New South Wales in 1882""",,1660,1,1,1,1,Alternative-confirmed,"Lunney, D., 2001. Causes of the extinction of native mammals of the Western Division of New South Wales: an ecological interpretation of the nineteenth century historical record. The Rangeland Journal, 23(1), pp.44-70.",1892,"Western Division, NSW",Broken Hill,Region,NA,NA,,,,,,,,,,,Extinct from mainland,pop_7,,1e+05,1892.5,1907.5,1903.35106382979,2.77797154693694,1875,1875,1875,0
Bettongia lesueur,State,Western Australia,,"""It persisted in the south-west of Western Australia until the 1930s""",,1660,1,1,1,1,Confirmed,"Short J. 1998. The extinction of rat-kangaroos (Marsupialia: Potoroidae) in New South Wales, Australia. Biological Conservation 86:365-377.",1935,South-west WA,Perth,Region,NA,NA,,,,,,,,,,,Extinct from mainland,pop_8,+- 5 years,1e+05,1917.5,1932.5,1925.72580645161,3.98075974343401,1835,1845,1837.84946236559,4.51996764666316
Bettongia lesueur,State,Western Australia,,"""It persisted in the south-west of Western Australia until the 1930s""",,1660,1,1,1,1,Alternative-confirmed,"Abbott I. 2001. The Bilby Macrotis lagotis (Marsupialia: Peramelidae) in south-western Australia: original range limits, subsequent decline, and presumed regional extinction. RECORDS-WESTERN AUSTRALIAN MUSEUM 20:271-306.",1942,South-west WA,Perth,Region,NA,NA,,,,,,,,,,,Extinct from mainland,pop_9,,1e+05,1917.5,1932.5,1925.72580645161,3.98075974343401,1835,1845,1837.84946236559,4.51996764666316
Bettongia lesueur,Region,Nullarbor,,,,1660,1,1,1,1,Confirmed,"Abbott, I., Peacock, D. and Short, J., 2014. The new guard: the arrival and impacts of cats and foxes. Carnivores of Australia: past, present and future, pp.69-104.",1928,Nullarbor,Nullarbor,Region,NA,NA,,,,,,,,,,,Extinct from mainland,pop_10,,1e+05,1907.5,1912.5,1911.76900584795,1.76825147180594,1885,1885,1885,0
Bettongia lesueur,State,Queensland,,,,1660,1,1,1,1,Confirmed,"Van Dyck, S., 2005. Queensland's burrowing bettongs… where old news is gut news. Australian Zoologist, 33(1), pp.60-68.",1885,"Charleville, QLD","Charleville, QLD",Place,NA,NA,,,,,,,,,,,Extinct from mainland,pop_11,,10000,1907.5,1907.5,1907.5,0,1845,1845,1845,0
Bettongia lesueur,State,Queensland,,"“football-sized wallabies bouncing off the dingo fence”, mid 1990's, before 1996",,1660,1,1,1,1,Unconfirmed,"Van Dyck, S., 2005. Queensland's burrowing bettongs… where old news is gut news. Australian Zoologist, 33(1), pp.60-68.",1995,South-west QLD,Eromanga,Region,NA,NA,,,,,,,,,,,Extinct from mainland,pop_12,,1e+05,1907.5,1907.5,1907.5,0,1865,1875,1872.29776247849,4.44457963010157
Bettongia penicillata,State,New South Wales,,"""It formerly occurred in a broad band across western and central New South
Wales, being last recorded there in 1857""",,1300,1,1,1,1,Confirmed,"Short J. 1998. The extinction of rat-kangaroos (Marsupialia: Potoroidae) in New South Wales, Australia. Biological Conservation 86:365-377.",1857,West and central NSW once common in Liverpool Plains,Cobar,Region,NA,NA,,,,,,,,,,,Extant,pop_13,,1e+05,1892.5,1907.5,1901.49180327869,5.60098499084234,1825,1835,1830.32786885246,4.99333319568536
Bettongia penicillata,State,New South Wales,,"""It formerly occurred in a broad band across western and central New South
Wales, being last recorded there in 1857""",,1300,1,1,1,1,Alternative-confirmed,"Lunney, D., 2001. Causes of the extinction of native mammals of the Western Division of New South Wales: an ecological interpretation of the nineteenth century historical record. The Rangeland Journal, 23(1), pp.44-70.",1882,"Western Division, NSW",Broken Hill,Region,NA,NA,,,,,,,,,,,Extant,pop_14,,1e+05,1892.5,1907.5,1903.35106382979,2.77797154693694,1875,1875,1875,0
